Currency;CurrencyCd;ReportDate;Valuation
United Kingdom Pound;gbp;07AUG2014;11.61883
United Kingdom Pound;gbp;10JAN2012;10.65730
Australian Dollar;aud;09JUL2020;6.59509
Australian Dollar;aud;08APR2009;5.82534
Danish Krone;dkk;01MAY2018;1.40921
Euro;eur;08AUG2008;9.40206
US Dollar;usd;08NOV2015;8.71420
Norwegian Kroner;nok;07OCT2015;1.00707
US Dollar;usd;05DEC2006;6.80400
United Kingdom Pound;gbp;04JUL2008;11.87110
United Kingdom Pound;gbp;03OCT2011;10.61460
United Kingdom Pound;gbp;08MAR2012;10.60940
Australian Dollar;aud;06NOV2020;6.59509
Danish Krone;dkk;01JUN2012;1.20886
United Kingdom Pound;gbp;01JAN2019;11.37110
Euro;eur;09SEP2017;9.55177
Euro;eur;03APR2008;9.33668
Danish Krone;dkk;08FEB2013;1.15222
US Dollar;usd;05JAN2010;7.07410
Euro;eur;04AUG2019;10.71121
Australian Dollar;aud;06NOV2016;6.89316
Norwegian Kroner;nok;01DEC2011;1.17069
Australian Dollar;aud;09JUN2015;6.40372
Norwegian Kroner;nok;03MAY2019;1.09555
Norwegian Kroner;nok;10DEC2017;1.01999
Australian Dollar;aud;08JUL2016;6.48282
United Kingdom Pound;gbp;08JUL2018;11.60500
Australian Dollar;aud;05NOV2016;6.89316
Norwegian Kroner;nok;08JUL2006;1.14776
Australian Dollar;aud;08SEP2018;6.48127
United Kingdom Pound;gbp;07OCT2017;10.63700
US Dollar;usd;03JUN2018;8.82815
Norwegian Kroner;nok;04FEB2011;1.13013
Danish Krone;dkk;07AUG2006;1.23089
Euro;eur;08AUG2013;8.67337
Norwegian Kroner;nok;04MAY2011;1.14383
Euro;eur;06FEB2007;9.14196
Danish Krone;dkk;04DEC2014;1.24837
US Dollar;usd;10FEB2015;8.32920
Danish Krone;dkk;04JUL2016;1.26292
Euro;eur;09JUN2020;10.67285
Australian Dollar;aud;05SEP2010;6.61972
Australian Dollar;aud;03NOV2008;5.17860
Norwegian Kroner;nok;08OCT2008;1.14857
Norwegian Kroner;nok;03AUG2020;1.07457
Euro;eur;03JUL2015;9.38510
United Kingdom Pound;gbp;08MAY2011;10.20040
Euro;eur;09MAR2013;8.31946
Euro;eur;08MAY2006;9.30642
US Dollar;usd;02MAY2019;9.53200
Australian Dollar;aud;08AUG2017;6.45628
